timestamp,user,text,toxic_labels,stt_time,ai_time,latency_ms,user_count
2026-02-10 21:21:39,U3,You are completely useless and nobody likes you.,toxic,584.75,48.46,633.21,3
2026-02-10 21:21:48,U2,shut your mouth you are so annoying,toxic,599.48,46.55,646.03,3
2026-02-10 21:21:56,U3,I hope you feel everything you try.,SAFE,557.57,45.78,603.35,3
2026-02-10 21:22:11,U2,you look absolutely disgusting today,toxic,584.09,44.06,628.15,3
2026-02-10 21:22:22,u1,Get out of my side before I make you leave.,SAFE,620.42,50.14,670.56,3
2026-02-10 21:22:38,U3,You are in the worst player I have ever seen.,toxic,638.05,54.87,692.91,3
2026-02-10 21:22:48,U2,Why are you even trying to just give up?,SAFE,573.35,46.09,619.45,3
2026-02-10 21:23:11,u1,Nobody wants to listen to your stupid voice.,toxic,600.38,58.22,658.60,3
2026-02-10 21:23:20,U3,You are a waste of space and time.,toxic,608.90,45.05,653.94,3
2026-02-10 21:23:28,U2,I hate you more than anyone else in this world.,toxic,684.41,48.43,732.84,3
2026-02-10 21:23:38,u1,"Stop talking, nobody cares about your opinion.",SAFE,649.42,47.84,697.26,3
2026-02-10 21:24:10,U3,You are pathetic and weak.,toxic,658.89,60.04,718.92,3
2026-02-10 21:24:16,u1,Go away and never come back here.,SAFE,698.69,65.69,764.38,3
2026-02-10 21:24:28,U2,Everyone is laughing at you behind your back.,SAFE,632.40,52.44,684.84,3
2026-02-10 21:24:41,U3,You are an idiot for thinking that would work.,toxic,621.47,146.18,767.65,3
2026-02-10 21:24:45,u1,you'll win every game we play.,SAFE,642.25,46.77,689.02,3
2026-02-10 21:24:54,U3,Please delete the game if you are fresh.,SAFE,682.20,48.71,730.91,3
2026-02-10 21:25:03,u1,I cannot believe how stupid you are.,toxic,664.46,51.01,715.48,3
2026-02-10 21:25:09,U3,your existence is a mistake,SAFE,582.57,43.50,626.07,3
2026-02-10 21:25:17,U2,"Don't I worship it to me again, Rosa?",SAFE,636.35,51.71,688.06,3
2026-02-10 21:25:27,u1,You are so ugly it hurts my eyes.,toxic,615.79,45.16,660.94,3
2026-02-10 21:25:39,U3,Are you mentally slow or just acting like it?,SAFE,619.55,52.35,671.90,3
2026-02-10 21:25:50,u1,I wish you would just disappear forever.,SAFE,590.12,46.11,636.23,3
2026-02-10 21:26:01,U2,You bring nothing of value to this team.,SAFE,592.03,48.33,640.37,3
2026-02-10 21:26:09,U3,Only a moron will make that mistake.,toxic,599.80,45.71,645.51,3
2026-02-10 21:26:21,u1,your circuit this game uninstall it.,SAFE,615.61,46.42,662.03,3
2026-02-10 21:26:32,U3,I'm going to report you for pink table.,SAFE,590.83,46.89,637.71,3
2026-02-10 21:26:44,u1,"Listen to me, a little piece of garbage.",toxic,609.51,45.50,655.02,3
2026-02-10 21:26:55,U3,You'll have absolutely no friends for a reason.,SAFE,591.72,46.74,638.45,3
2026-02-10 21:27:08,U2,"Keep trying, nobody feels sorry for you.",SAFE,576.52,49.65,626.17,3
2026-02-10 21:27:20,U2,"You are dirt to me, completely beneath me.",toxic,606.68,45.35,652.03,3
2026-02-10 21:27:34,U3,Shut up nobody asked for your input.,SAFE,594.82,46.06,640.88,3
2026-02-10 21:27:45,u1,You will never achieve anything in your life.,SAFE,629.05,54.11,683.15,3
2026-02-10 21:27:54,U2,I'm sick and tired of your stupidity.,toxic,570.20,46.14,616.34,3
2026-02-10 21:28:03,U3,You are a terrible person inside and out.,toxic,583.51,46.12,629.63,3
2026-02-10 21:28:13,u1,Don't make me come over there and hurt you.,SAFE,621.21,50.69,671.90,3
2026-02-10 21:28:22,U2,You are acting like a complete clown.,SAFE,604.25,47.84,652.09,3
2026-02-10 21:28:33,U3,Stop wasting your time with your incompetence.,toxic,610.38,45.24,655.62,3
2026-02-10 21:28:44,U2,I despise everything about you.,toxic,591.29,50.98,642.27,3
2026-02-10 21:28:52,u1,You are nothing but a failure.,toxic,607.23,47.65,654.88,3
2026-02-10 21:28:58,U2,Take your stupid idea somewhere else.,toxic,1037.23,45.80,1083.03,3
2026-02-10 21:29:06,U3,you are at globally the longest person here.,SAFE,590.00,48.41,638.41,3
2026-02-10 21:29:16,U2,I'm going to mute you because you are toxic.,toxic,601.05,50.53,651.58,3
2026-02-10 21:29:24,u1,You deserve all the bad things happening to you.,toxic,587.76,45.90,633.65,3
2026-02-10 21:29:33,U2,Look in the mirror and see a loser.,toxic,594.09,46.76,640.85,3
2026-02-10 21:29:43,U3,You are annoying everyone in this channel.,SAFE,549.42,45.71,595.13,3
2026-02-10 21:29:51,u1,I have zero respect for people like you.,SAFE,579.30,46.03,625.34,3
2026-02-10 21:29:59,U2,Why don't you just go kill your connection?,toxic,579.12,52.26,631.38,3
2026-02-10 21:30:08,U3,You are a joke to this community.,SAFE,562.14,45.74,607.88,3
2026-02-10 21:30:19,U2,"Leave the server right now, nobody wants you.",SAFE,611.76,44.95,656.71,3
2026-02-10 21:30:23,u1,,SAFE,494.62,43.36,537.98,3
2026-02-10 21:31:45,U2,Hello heart power you're doing today.,SAFE,616.77,52.79,669.57,3
2026-02-10 21:31:54,U3,The weather outside is really nice and sunny.,SAFE,618.06,57.45,675.52,3
2026-02-10 21:32:04,u1,I think we should work together on this project.,SAFE,699.18,53.02,752.20,3
2026-02-10 21:32:13,U2,Can you please pass me the salt?,SAFE,645.83,46.76,692.59,3
2026-02-10 21:32:23,U3,I really enjoyed playing video games with friends.,SAFE,589.52,48.18,637.70,3
2026-02-10 21:32:33,U2,What time is the meeting scheduled for?,SAFE,702.46,48.75,751.21,3
2026-02-10 21:32:44,u1,I am going to the store to buy some bread.,SAFE,613.88,47.23,661.11,3
2026-02-10 21:32:53,U2,Let's try to win this match together.,SAFE,1016.35,80.51,1096.85,3
2026-02-10 21:33:02,U3,have you seen the latest movie that came out?,SAFE,719.97,70.99,790.97,3
2026-02-10 21:33:11,U2,Good luck on your exam tomorrow morning.,SAFE,560.81,46.66,607.47,3
2026-02-10 21:33:20,U2,I appreciate your help with my homework.,SAFE,609.95,45.29,655.25,3
2026-02-10 21:33:32,u1,My favorite color is through what is yours.,SAFE,1002.55,51.55,1054.10,3
2026-02-10 21:43:55,T7,This is a very interesting book I am writing.,SAFE,662.57,75.32,737.89,3
2026-02-10 21:44:08,U3,Let's try to win this match together.,SAFE,587.26,56.15,643.41,3
2026-02-10 21:44:18,u1,Have you seen the latest movie that came out?,SAFE,636.74,55.50,692.24,3
2026-02-10 21:44:28,U3,Good luck on your exam tomorrow morning.,SAFE,779.22,56.02,835.24,3
2026-02-10 21:44:37,u1,I appreciate your help with my homework.,SAFE,639.24,50.95,690.19,3
2026-02-10 21:44:47,T7,My favorite color is bro. What is yours?,SAFE,635.70,52.57,688.27,3
2026-02-10 21:44:56,U3,"Please let me know when you are right, hold.",SAFE,598.12,66.35,664.47,3
2026-02-10 21:45:06,u1,"I need to charge my phone, the battery is low.",SAFE,682.82,59.74,742.56,3
2026-02-10 21:45:16,u1,the coffee at this place is really delicious.,SAFE,647.14,54.38,701.52,3
2026-02-10 21:45:27,U3,We are planning a trip to the mountains next week.,SAFE,638.35,56.78,695.13,3
2026-02-10 21:45:39,u1,Can you hear me clearly on this microphone?,SAFE,763.92,63.14,827.06,3
2026-02-10 21:45:49,u1,I learned a new programming language recently.,SAFE,601.05,57.66,658.72,3
2026-02-10 21:45:58,U3,It is important to stay hydrated during the day.,SAFE,630.77,58.36,689.13,3
2026-02-10 21:46:09,T7,Let's meet at the park around 5 o'clock.,SAFE,680.38,64.46,744.84,3
2026-02-10 21:46:19,U3,Thank you for being so kind to me.,SAFE,679.67,62.54,742.21,3
2026-02-10 21:46:28,u1,I forgot my case in the car I'll be right back.,SAFE,635.86,60.09,695.96,3
2026-02-10 21:46:39,U3,the internet connection seems very stable today.,SAFE,678.10,56.94,735.04,3
2026-02-10 21:46:50,T7,Have a wonderful weekend with your family.,SAFE,604.96,45.58,650.54,3
2026-02-10 21:47:02,U3,I'm looking forward to our vacation next summer.,SAFE,681.39,63.72,745.11,3
2026-02-10 21:47:10,u1,Could you please explain that concept again?,SAFE,645.38,50.83,696.21,3
2026-02-10 21:47:19,U3,that's it so we ordered just the right at the door.,SAFE,813.20,59.36,872.56,3
2026-02-10 21:47:23,u1,,SAFE,543.48,52.83,596.31,3
2026-02-10 21:47:34,u1,I usually wake up at 7 in the morning.,SAFE,625.21,58.95,684.16,3
2026-02-10 21:47:44,U3,technologies advancing very rapidly these days.,SAFE,928.67,49.41,978.08,3
2026-02-10 21:47:54,T7,It was nice talking to you later.,SAFE,873.44,109.66,983.10,3
2026-02-10 21:48:10,U3,I need you to finish writing this report by tonight.,SAFE,1082.78,124.51,1207.28,3
2026-02-10 21:48:22,u1,We will prefer to your coffee in the morning.,SAFE,913.36,61.14,974.51,3
2026-02-10 21:48:31,U3,This sound reminds me of my childhood.,SAFE,1085.86,53.48,1139.34,3
2026-02-10 21:48:40,T7,Let's put on more 8 to find the best solution.,SAFE,868.86,76.88,945.74,3
2026-02-10 21:48:50,U3,I am very proud of what we've achieved today.,SAFE,912.64,59.72,972.35,3
2026-02-10 21:48:59,T7,Please remember to turn off the lights.,SAFE,844.63,131.69,976.32,3
2026-02-10 21:49:08,U3,Is there anything else I can help you with?,SAFE,820.41,56.92,877.33,3
2026-02-10 21:49:19,T7,the sunset looks absolutely beautiful this evening.,SAFE,1662.44,73.60,1736.04,3
2026-02-10 21:49:29,U3,I have a lot of work to do this week.,SAFE,921.58,74.94,996.52,3
2026-02-10 21:49:37,u1,My computer is running very fast now.,SAFE,975.20,50.89,1026.09,3
2026-02-10 21:49:47,U3,Let's go for a walk in the park later.,SAFE,857.84,107.98,965.82,3
2026-02-10 21:49:55,u1,I enjoy listening to music choir artwork.,SAFE,890.63,49.98,940.62,3
2026-02-10 21:50:05,U3,Can you recommend a good restaurant nearby?,SAFE,1034.66,63.26,1097.92,3
2026-02-10 21:50:14,u1,we should organize a team building event.,SAFE,844.07,54.85,898.92,3
2026-02-10 21:50:22,T7,I'm learning how to cook in your dishes.,SAFE,964.41,59.66,1024.08,3
2026-02-10 21:50:31,U3,The train is arriving at the station now.,SAFE,920.51,55.48,975.99,3
2026-02-10 21:50:41,T7,I need to buy a birthday gift to my friend.,SAFE,931.15,68.88,1000.03,3
2026-02-10 21:50:50,U3,Please send me the first via email.,SAFE,837.26,123.73,961.00,3
2026-02-10 21:50:59,u1,everything is going according to plan.,SAFE,924.38,54.27,978.64,3
